easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
49400.0,75400.0,0.03,0.005,0.309,9622550.375,0.0,1.0,787658.7899315717,369.12360987014335,27.9,56.0
49478.0,75400.0,0.05,0.011000000000000001,0.309,9627741.191,0.0,1.0,1919318.7524368612,340.64972789602257,73.8,67.0
49556.0,75400.0,0.03,0.003,0.309,9632831.136,0.0,1.0,416442.94343920256,271.82385849612973,20.1,55.0
49635.0,75400.0,0.03,0.003,0.309,9632831.136,0.0,1.0,769726.064328357,320.5814131598283,31.4,94.0
49713.0,75400.0,0.04,0.004,0.309,9637819.598,0.0,1.0,1038496.1762069344,342.03602012700884,39.8,61.0
49791.0,75400.0,0.03,0.004,0.309,9642706.097000001,0.0,1.0,1646504.3168142766,282.7772798216579,76.3,59.0
49869.0,75400.0,0.03,0.003,0.309,9647490.286,0.0,1.0,750603.2406932763,304.4223929130783,32.3,66.0
49947.0,75400.0,0.03,0.003,0.309,9647490.286,0.0,1.0,803918.5079372453,298.7355470323425,35.2,64.0
50025.0,75400.0,0.04,0.006,0.309,9652171.953,0.0,1.0,910301.8215525623,288.0747244974495,41.4,67.0
50104.0,75400.0,0.04,0.006,0.31,9656751.023,0.0,1.0,996007.6088205423,289.47991324356025,45.1,74.0
50182.0,75400.0,0.04,0.005,0.31,9661227.556,0.0,1.0,987789.8520873941,273.7537263553901,47.3,88.0
50260.0,75400.0,0.05,0.006,0.31,9665601.747000001,0.0,1.0,1166480.3532033677,274.57064775772494,55.6,62.0
50338.0,75400.0,0.05,0.006,0.31,9665601.747000001,0.0,1.0,252677.43230276147,384.2177005161325,8.6,82.0
50416.0,75400.0,0.05,0.009000000000000001,0.31,9669873.928,0.0,1.0,1000333.1060673315,321.3604108373475,40.8,64.0
50495.0,75400.0,0.05,0.009000000000000001,0.31,9674044.562,0.0,1.0,1016628.272504343,289.0627162796676,46.1,74.0
50573.0,75400.0,0.06,0.013000000000000001,0.31,9678114.245,0.0,1.0,1034477.2460795892,347.6534387265545,39.0,73.0
50651.0,75400.0,0.04,0.005,0.31,9682083.7,0.0,1.0,774384.7723955077,346.96176757138016,29.2,72.0
50729.0,75400.0,0.04,0.005,0.31,9682083.7,0.0,1.0,1125108.9583205022,324.02499407640795,45.5,87.0
50807.0,75400.0,0.04,0.005,0.31,9685953.777999999,0.0,1.0,447247.15244710783,278.2079093685341,21.1,65.0
50885.0,75400.0,0.03,0.004,0.31,9689725.447999999,0.0,1.0,797414.6782463726,321.01727298704435,32.5,81.0
