easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
32000.0,12500.0,0.08,0.027999999999999997,0.314,11094586.945,0.18563833023388795,0.8143616697661121,1164975.239722496,332.2332828875395,45.3,61.0
32121.0,12500.0,0.06,0.016,0.314,11101124.445,0.18582234970882994,0.8141776502911701,627326.6106191834,255.95812252306894,31.7,53.0
32243.0,12500.0,0.07,0.021,0.314,11107550.830999998,0.18600752401646647,0.8139924759835335,745890.5767597854,301.481631897969,32.0,66.0
32364.0,12500.0,0.06,0.01,0.314,11120070.99,0.1863812225739629,0.813618777426037,281715.903496503,261.85551996282487,13.9,55.0
32486.0,12500.0,0.05,0.008,0.314,11126165.13,0.18656968890195125,0.8134303110980488,337381.4958943425,185.73305491590492,23.5,74.0
32607.0,12500.0,0.07,0.02,0.314,11132148.888,0.18675919423484413,0.8132408057651559,1183566.7587488405,338.1466455138006,45.2,61.0
32729.0,12500.0,0.04,0.006999999999999999,0.314,11138022.447999999,0.18694970900130997,0.81305029099869,1021868.9362270221,323.5675026603729,40.8,62.0
32850.0,12500.0,0.07,0.016,0.314,11143785.992,0.1871412033959125,0.8128587966040874,724148.5322965005,260.0369300678539,36.0,65.0
32971.0,12500.0,0.07,0.024,0.314,11154983.765999999,0.1875270107013452,0.8124729892986549,1131495.162480572,266.59972021995645,54.9,71.0
33093.0,12500.0,0.04,0.006,0.313,11160418.359000001,0.1877212628645169,0.8122787371354832,707096.7065960732,286.9337772846021,31.9,75.0
33214.0,12500.0,0.07,0.023,0.313,11165743.664,0.1879163731657333,0.8120836268342667,333657.9286858448,227.04044810933246,19.0,70.0
33336.0,12500.0,0.06,0.015,0.313,11170959.862,0.18811231067843226,0.8118876893215677,191199.35044170488,282.37171984369803,8.8,72.0
33457.0,12500.0,0.06,0.013999999999999999,0.313,11181065.648,0.18850654254579946,0.8114934574542005,476068.6957894022,270.01553289973134,22.8,82.0
33578.0,12500.0,0.06,0.012,0.313,11185955.590999998,0.18870477396487612,0.8112952260351238,1044022.6082272384,323.24738186827784,41.8,83.0
33700.0,12500.0,0.07,0.019,0.313,11190737.136,0.1889037067268676,0.8110962932731324,532009.5216343028,289.56812661477295,23.8,77.0
33821.0,12500.0,0.05,0.01,0.313,11195410.455999998,0.18910330883043824,0.8108966911695618,1104868.135511985,287.6273970114081,49.7,75.0
33943.0,12500.0,0.06,0.013000000000000001,0.313,11199975.724000001,0.18930354806281205,0.8106964519371881,1088446.774630819,265.9741278160725,52.9,82.0
34064.0,12500.0,0.07,0.019,0.313,11208782.791,0.18970580801285924,0.8102941919871407,594483.4591582934,318.9433804073154,24.1,94.0
34186.0,12500.0,0.05,0.01,0.313,11213024.927000001,0.1899077632585548,0.8100922367414451,799646.7549548406,196.33045342191375,52.7,77.0
34307.0,12500.0,0.05,0.006999999999999999,0.313,11217159.687,0.19011022469156252,0.8098897753084374,459534.7315634121,226.2908162713258,26.3,85.0
34428.0,12500.0,0.03,0.003,0.313,11221187.236,0.19031315906007848,0.8096868409399215,1337766.5042196163,345.5078113961776,50.1,83.0
34550.0,12500.0,0.07,0.023,0.312,11225107.736,0.1905165329085736,0.8094834670914264,1003245.4282745748,296.8852072160625,43.7,79.0
34671.0,12500.0,0.06,0.01,0.312,11232628.232,0.19092446421307385,0.8090755357869261,558221.5126119101,293.93390895507235,24.6,86.0
34793.0,12500.0,0.05,0.008,0.312,11236228.542000001,0.1911289537527968,0.8088710462472032,893405.4451575861,251.41385535801624,45.9,126.0
34914.0,12500.0,0.05,0.01,0.312,11239722.433,0.1913337469435386,0.8086662530564614,802508.4613843155,332.74099242157433,31.2,119.0
35036.0,12500.0,0.05,0.01,0.312,11243110.055,0.1915388093350477,0.8084611906649524,800224.5370339621,294.4958549532451,35.1,95.0
35157.0,12500.0,0.05,0.013999999999999999,0.312,11249567.09,0.19194960295497954,0.8080503970450205,551783.0398451898,292.0874464091986,24.4,94.0
35278.0,12500.0,0.08,0.027999999999999997,0.312,11252636.79,0.1921552643247931,0.8078447356752069,1091968.8833019412,313.65783845241987,45.0,115.0
35400.0,12500.0,0.04,0.006,0.312,11255600.800999999,0.1923610551824625,0.8076389448175375,841442.8874494783,322.1112869441689,33.8,90.0
35521.0,12500.0,0.05,0.01,0.312,11258459.259000001,0.19256694013287748,0.8074330598671225,987051.2912743259,350.8269815643682,36.4,97.0
35643.0,12500.0,0.07,0.017,0.312,11261212.298,0.19277288359886974,0.8072271164011302,676153.7822674372,310.373362871001,28.2,87.0
35764.0,12500.0,0.05,0.013000000000000001,0.312,11266402.634000001,0.1931848028739716,0.8068151971260284,334052.0024174934,272.2375110506061,15.9,117.0
35886.0,12500.0,0.04,0.006,0.311,11268840.181,0.1933907066418054,0.8066092933581945,484901.74666646024,264.49070665874416,23.7,106.0
36007.0,12500.0,0.05,0.01,0.311,11271172.807,0.1935965248480217,0.8064034751519783,555481.8723208767,372.4921501874981,19.3,100.0
36128.0,12500.0,0.07,0.019,0.311,11273400.627999999,0.19380222104483494,0.8061977789551651,659429.175496044,277.71634456097536,30.7,98.0
36250.0,12500.0,0.08,0.023,0.311,11275523.752,0.1940077586187132,0.8059922413812868,827055.5418206879,279.95428187536544,38.2,93.0
36371.0,12500.0,0.07,0.02,0.311,11279456.332999999,0.19441821063274647,0.8055817893672536,1252300.2717141812,290.126791148175,55.8,98.0
36493.0,12500.0,0.05,0.011000000000000001,0.311,11281265.988,0.1946230510442363,0.8053769489557637,998610.76062728,302.57969104892237,42.7,109.0
36614.0,12500.0,0.09,0.035,0.311,11282971.342,0.19482758478146933,0.8051724152185307,833897.5503763536,295.002974210141,36.5,108.0
36735.0,12500.0,0.07,0.017,0.311,11284572.480999999,0.1950317744480595,0.8049682255519405,987261.5212741095,322.58136821577773,39.6,99.0
36857.0,12500.0,0.05,0.008,0.311,11287462.435,0.19543897125044984,0.8045610287495502,1260434.3584108641,266.932724655294,61.0,100.0
36978.0,12500.0,0.05,0.011000000000000001,0.311,11288751.393,0.19564190287075486,0.8043580971292451,311745.00491476967,362.216618826524,11.1,119.0
37100.0,12500.0,0.07,0.021,0.311,11289936.424,0.19584433939590973,0.8041556606040903,586516.0905207518,247.26195023873885,30.7,102.0
37221.0,12500.0,0.06,0.012,0.311,11291017.587000001,0.19604624272702936,0.8039537572729707,1515587.5121625487,315.2406355935768,62.1,114.0
37343.0,12500.0,0.07,0.018000000000000002,0.31,11291994.93,0.19624757463479636,0.8037524253652036,312655.30242698424,251.82157698451226,16.0,108.0
37464.0,12500.0,0.07,0.025,0.31,11293638.325,0.19664837063249,0.80335162936751,595517.5003800045,229.88540278598919,33.5,106.0
37585.0,12500.0,0.06,0.011000000000000001,0.31,11294304.443,0.196847757643578,0.8031522423564219,911910.4020303987,354.70546304541017,33.2,110.0
37707.0,12500.0,0.07,0.02,0.31,11294866.872000001,0.19704641908064036,0.8029535809193596,755215.0470667544,265.89442015042675,36.7,107.0
37828.0,12500.0,0.05,0.008,0.31,11295325.627,0.19724431611536852,0.8027556838846315,527874.0904108996,285.2040993292385,23.9,120.0
37950.0,12500.0,0.07,0.026000000000000002,0.31,11295680.713,0.1974414098101516,0.8025585901898484,233837.4877981553,334.29891696532945,9.0,132.0
