easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
26200.0,95200.0,0.03,0.003,0.355,9161997.275,0.3140792605386736,0.6859207394613265,1115964.1175263766,356.9208653754098,44.4,60.0
26409.0,95200.0,0.02,0.002,0.354,9152599.468,0.31490750466759243,0.6850924953324076,618780.9609110911,324.9201511687205,27.1,88.0
26618.0,95200.0,0.05,0.011000000000000001,0.354,9142603.273,0.31567363523982844,0.6843263647601716,1213846.3373613043,290.54356456084264,59.3,77.0
26826.0,95200.0,0.0,0.0,0.354,9131994.35,0.31637591222649897,0.6836240877735009,695188.5613621717,324.18448527037793,30.5,64.0
27035.0,95200.0,0.01,0.001,0.353,9120758.381000001,0.31701260603857195,0.6829873939614279,745535.2986568209,191.96476153118962,55.2,82.0
27244.0,95200.0,0.0,0.0,0.353,9108881.157,0.3175820065329707,0.6824179934670294,514100.94097245217,371.128103667485,19.7,61.0
27453.0,95200.0,0.0,0.0,0.353,9089832.443,0.31830626699613235,0.6816937330038677,687890.2704599013,318.2390248127996,30.7,75.0
27661.0,95200.0,0.02,0.002,0.35200000000000004,9076291.613,0.3187001747580465,0.6812998252419535,233679.8355699532,324.4028659322168,10.2,66.0
27870.0,95200.0,0.02,0.001,0.35200000000000004,9062062.267,0.3190211138414437,0.6809788861585564,1847126.0601351808,310.0250372090792,84.6,71.0
28079.0,95200.0,0.0,0.0,0.35200000000000004,9047132.137,0.3192676034742947,0.6807323965257053,744282.840357758,251.71730883209298,42.0,104.0
28288.0,95200.0,0.0,0.0,0.35100000000000003,9031489.764,0.3194382513692788,0.6805617486307212,781579.7386097481,343.9866057663131,32.3,75.0
28497.0,95200.0,0.0,0.0,0.35100000000000003,9015124.655,0.31953176889981105,0.680468231100189,340468.128467194,364.6969808792273,13.3,84.0
28705.0,95200.0,0.0,0.0,0.35100000000000003,8998027.436,0.31954698649838903,0.6804530135016109,705189.9325123775,249.69616044611038,40.1,85.0
28914.0,95200.0,0.02,0.002,0.35,8980190.011,0.31948286891994704,0.680517131080053,735313.4797309567,184.10959110145856,56.7,88.0
29123.0,95200.0,0.03,0.003,0.35,8961605.707999999,0.31933852996652823,0.6806614700334718,512069.3128583082,216.63908464484462,33.6,88.0
29332.0,95200.0,0.01,0.001,0.35,8942269.418,0.3191132462393157,0.6808867537606843,754147.1812639979,272.2430088376924,39.3,97.0
29540.0,95200.0,0.0,0.0,0.349,8922177.723,0.3188064694750775,0.6811935305249225,869530.9386528238,202.31613595522995,61.0,84.0
29749.0,95200.0,0.0,0.0,0.349,8901329.004,0.31841783703940924,0.6815821629605907,531204.6378116057,253.5766935340127,29.8,99.0
29958.0,95200.0,0.03,0.002,0.349,8868637.606,0.31768109436230746,0.6823189056376926,217239.45859972422,298.54008642592413,10.3,113.0
30167.0,95200.0,0.03,0.002,0.348,8845901.727,0.3170875220427892,0.6829124779572109,719512.4658304319,337.6615821446826,30.3,97.0
30376.0,95200.0,0.0,0.0,0.348,8822418.294,0.3164123824211062,0.6835876175788937,1010205.049722786,402.22995075670576,35.7,94.0
30584.0,95200.0,0.01,0.0,0.348,8798194.439,0.31565621197305216,0.6843437880269478,494717.5014373546,256.26512410751496,27.4,101.0
30793.0,95200.0,0.04,0.005,0.34700000000000003,8773239.219,0.3148197444980356,0.6851802555019644,954722.6728657434,409.24464281573364,33.1,104.0
31002.0,95200.0,0.03,0.003,0.34700000000000003,8747563.55,0.3139039042112579,0.6860960957887421,625743.6701987986,326.3510598184759,27.2,104.0
31211.0,95200.0,0.01,0.0,0.34700000000000003,8721180.113,0.3129097964392269,0.6870902035607731,661505.4699777194,381.47581722892687,24.6,133.0
31419.0,95200.0,0.02,0.002,0.34600000000000003,8694103.249,0.311838696272804,0.6881613037271961,665159.1385308179,250.8317770631168,37.7,107.0
31628.0,95200.0,0.01,0.001,0.34600000000000003,8666348.824,0.3106920355881532,0.6893079644118468,1259719.3766338066,368.9693657209602,48.5,105.0
31837.0,95200.0,0.0,0.0,0.34600000000000003,8637934.092,0.3094713888740559,0.6905286111259441,709536.104041373,216.5558336012164,46.5,115.0
32046.0,95200.0,0.0,0.0,0.345,8608877.549,0.3081784583072091,0.6918215416927909,647778.820704086,362.4471338539304,25.4,119.0
32255.0,95200.0,0.01,0.0,0.345,8564132.445,0.3061075266857225,0.6938924733142775,852239.3585607734,259.10032494726966,46.7,115.0
32463.0,95200.0,0.01,0.0,0.344,8533559.082999999,0.3046420340207258,0.6953579659792741,764196.8719689674,334.39293818516614,32.5,113.0
32672.0,95200.0,0.0,0.0,0.344,8502416.262,0.3031110017610491,0.6968889982389509,686618.9163526375,354.48143578579567,27.5,137.0
32881.0,95200.0,0.01,0.0,0.344,8470726.237,0.30151652146182,0.6984834785381799,313746.04254638555,235.37110166954446,18.9,121.0
33090.0,95200.0,0.01,0.0,0.34299999999999997,8438511.731,0.29986073333516994,0.7001392666648301,362477.26439707,234.98280471916402,21.9,125.0
