easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
32600.0,52200.0,0.04,0.006999999999999999,0.273,11646851.425999999,0.0572192112792553,0.9427807887207448,739544.9124015545,344.9462981360887,30.6,52.0
32807.0,52200.0,0.02,0.001,0.273,11628098.702,0.05831180627045988,0.9416881937295402,623396.9374866781,297.27333474296904,30.0,71.0
33014.0,52200.0,0.03,0.005,0.27399999999999997,11608437.691,0.059427670548234585,0.9405723294517654,1664707.3736976357,267.8759805469505,88.8,64.0
33221.0,52200.0,0.04,0.005,0.27399999999999997,11587907.534000002,0.06056612924087215,0.939433870759128,838928.3589035623,325.20933652483257,36.9,60.0
33427.0,52200.0,0.05,0.011000000000000001,0.27399999999999997,11566545.15,0.06172653444464436,0.9382734655553556,706441.429554816,292.1053037151778,34.6,58.0
33634.0,52200.0,0.02,0.001,0.275,11544385.352,0.06290826346922787,0.9370917365307722,1076089.0954981288,224.46610822045142,68.5,63.0
33841.0,52200.0,0.04,0.006999999999999999,0.275,11521460.983,0.06411071691995479,0.9358892830800452,1106230.6361672978,295.0363624269732,53.6,83.0
34048.0,52200.0,0.05,0.009000000000000001,0.276,11497803.056,0.0653333167448182,0.9346666832551818,738104.9054538524,334.0335241179588,31.6,66.0
34255.0,52200.0,0.05,0.009000000000000001,0.27699999999999997,11461004.432,0.0672037738211706,0.9327962261788294,637667.181659368,296.1124571444097,30.8,85.0
34462.0,52200.0,0.05,0.01,0.27699999999999997,11435637.453,0.06847433369477159,0.9315256663052284,845657.0880280031,245.6801475348716,49.2,75.0
34669.0,52200.0,0.02,0.001,0.278,11409632.902999999,0.06976315816238232,0.9302368418376176,1355174.9506374202,299.51860291535525,64.7,77.0
34876.0,52200.0,0.05,0.009000000000000001,0.278,11383015.109000001,0.07106974309284889,0.9289302569071513,1885304.5829802253,313.76981580891294,85.9,82.0
35082.0,52200.0,0.03,0.004,0.27899999999999997,11355807.213,0.07239359656623369,0.9276064034337664,931466.5122672609,272.81164103659125,48.8,77.0
35289.0,52200.0,0.05,0.012,0.27899999999999997,11328031.261,0.07373423760666988,0.92626576239333,866870.8472094606,366.4147913709261,33.8,102.0
35496.0,52200.0,0.04,0.006,0.28,11299708.29,0.07509119502669279,0.9249088049733072,791073.3811786068,264.3954642778336,42.8,105.0
35703.0,52200.0,0.02,0.001,0.28,11270858.404000001,0.07646400637323655,0.9235359936267634,971540.76573231,261.7103102857191,53.1,85.0
35910.0,52200.0,0.05,0.009000000000000001,0.281,11241500.843,0.07785221696647494,0.9221477830335252,1012139.4999191216,400.79076454731904,36.1,85.0
36117.0,52200.0,0.02,0.001,0.282,11211654.05,0.0792553790212395,0.9207446209787604,480002.665762693,288.3992377481828,23.8,98.0
36324.0,52200.0,0.03,0.003,0.282,11181335.730999999,0.0806730508427278,0.9193269491572722,398674.00917942397,285.98852702570184,19.9,108.0
36531.0,52200.0,0.04,0.006999999999999999,0.28300000000000003,11150562.907,0.08210479608777932,0.9178952039122208,688919.8152869267,396.73751559381446,24.8,101.0
36737.0,52200.0,0.02,0.002,0.284,11119351.968,0.08355018308412072,0.9164498169158792,742163.9131099109,285.00473640051035,37.2,99.0
36944.0,52200.0,0.06,0.012,0.284,11087718.720999999,0.08500878420049532,0.9149912157995048,619098.9425045371,266.17359276368666,33.2,104.0
37151.0,52200.0,0.03,0.003,0.285,11039510.277,0.08722053527551303,0.912779464724487,1188693.715668812,279.09932168482396,60.9,96.0
37358.0,52200.0,0.03,0.003,0.28600000000000003,11006886.96,0.08871032214545298,0.9112896778545472,1549971.1843730174,304.90103757470666,72.7,107.0
37565.0,52200.0,0.04,0.006,0.287,10973892.660999998,0.09021185013173058,0.9097881498682694,938671.2549966042,292.96434508608746,45.8,140.0
37772.0,52200.0,0.03,0.003,0.287,10940541.059,0.09172470305465792,0.9082752969453419,665461.5216757575,246.48659656816884,38.6,122.0
37979.0,52200.0,0.06,0.011000000000000001,0.28800000000000003,10906845.461,0.09324846596167136,0.9067515340383286,964597.730343086,331.7318696004108,41.6,127.0
38186.0,52200.0,0.04,0.008,0.289,10872818.83,0.09478272469541092,0.9052172753045892,1461914.7059800678,334.43430243858023,62.5,118.0
38392.0,52200.0,0.03,0.004,0.29,10838473.816,0.09632706547645803,0.9036729345235419,232017.60349025825,243.1725255204475,13.6,120.0
38599.0,52200.0,0.04,0.005,0.29,10803822.785,0.09788107449752513,0.9021189255024749,1389020.7456335058,407.885257693265,48.7,112.0
38806.0,52200.0,0.06,0.013999999999999999,0.29100000000000004,10768877.845999999,0.09944433752611798,0.9005556624738822,1017184.0954038758,355.02662567859466,40.9,114.0
39013.0,52200.0,0.03,0.004,0.292,10733650.877999999,0.1010164395127307,0.8989835604872694,582912.411732078,304.16424714929144,27.4,133.0
39220.0,52200.0,0.04,0.005,0.292,10698153.555,0.10259696420192936,0.8974030357980707,1008399.7012019723,336.3771545692641,42.8,132.0
39427.0,52200.0,0.03,0.004,0.293,10662397.368999999,0.1041854937435865,0.8958145062564135,480473.84995801456,268.58351572005085,25.6,132.0
39634.0,52200.0,0.04,0.005,0.294,10626393.659,0.10578160830204106,0.8942183916979589,883271.0153100254,333.66379286880334,37.8,122.0
39841.0,52200.0,0.04,0.006,0.295,10590153.629,0.1073848856604925,0.8926151143395075,443581.04651679046,299.2170541174285,21.2,126.0
40047.0,52200.0,0.04,0.008,0.295,10553688.375,0.10899490081830396,0.8910050991816959,1018368.9146344934,301.76565197099995,48.2,129.0
40254.0,52200.0,0.03,0.003,0.29600000000000004,10498592.263,0.11142161927065336,0.8885783807293466,841962.671646585,269.9773300966796,44.6,127.0
40461.0,52200.0,0.04,0.006999999999999999,0.297,10461611.981,0.11304659752807544,0.8869534024719246,603393.9518887083,371.1053204871753,23.2,130.0
40668.0,52200.0,0.04,0.006,0.298,10424444.777,0.11467679809481755,0.8853232019051824,623437.4911082204,340.94111432426945,26.1,171.0
40875.0,52200.0,0.07,0.019,0.299,10387101.536,0.11631177814753567,0.8836882218524643,724778.0107067106,361.5350308664112,28.7,146.0
41082.0,52200.0,0.05,0.011000000000000001,0.299,10349593.156,0.11795108962781747,0.8820489103721825,1137576.951242972,321.53021570674116,50.6,137.0
41289.0,52200.0,0.04,0.005,0.3,10311930.574,0.11959427873229014,0.8804057212677099,668133.3735135265,304.75193759638563,31.3,139.0
41496.0,52200.0,0.06,0.016,0.301,10274124.79,0.1212408853755976,0.8787591146244024,729831.1250013623,337.87478836649103,30.9,149.0
41702.0,52200.0,0.05,0.01,0.302,10236186.883,0.12289044262313842,0.8771095573768616,447090.97837531776,313.7291787631064,20.4,159.0
41909.0,52200.0,0.04,0.006999999999999999,0.302,10198128.046,0.12454247608962445,0.8754575239103756,481657.69907368935,367.6009881020353,18.7,172.0
