easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
8100.0,52000.0,0.04,0.006,0.363,8522978.527999999,0.05893695105841385,0.941063048941586,379167.7900049822,320.09594611143183,17.6,80.0
8296.0,52000.0,0.03,0.002,0.36200000000000004,8549781.899,0.05880240068115549,0.9411975993188444,710297.4687841508,299.9629590768991,35.1,58.0
8493.0,52000.0,0.04,0.005,0.36200000000000004,8577057.407,0.058657777877181086,0.9413422221228188,691313.0990349794,272.57509707273056,37.6,64.0
8689.0,52000.0,0.0,0.0,0.361,8604846.768,0.058502430337253136,0.9414975696627468,409088.2557942194,333.6356520173653,18.2,79.0
8885.0,52000.0,0.06,0.013999999999999999,0.361,8633192.47,0.05833569507938555,0.9416643049206144,964782.598008915,329.46496326481616,43.4,78.0
9081.0,52000.0,0.03,0.004,0.36,8662136.614,0.05815691771279041,0.9418430822872096,719174.7628924507,304.50111403667285,35.0,83.0
9278.0,52000.0,0.05,0.009000000000000001,0.36,8691719.316,0.057965479276901564,0.9420345207230983,603281.5821595801,315.5826854428323,28.3,62.0
9474.0,52000.0,0.03,0.003,0.359,8721976.661,0.05776083038081165,0.9422391696191884,860383.0822072516,275.28338086469125,46.3,64.0
9670.0,52000.0,0.03,0.004,0.359,8752938.37,0.057542530298858675,0.9424574697011412,1008735.2440438126,352.7640190323043,42.4,79.0
9867.0,52000.0,0.04,0.006,0.358,8784625.458999999,0.05731028613053873,0.9426897138694612,830984.2820678102,251.8537229591513,48.9,79.0
10063.0,52000.0,0.03,0.003,0.35700000000000004,8817048.303,0.05706398511711315,0.9429360148828868,1036258.0114193315,234.6008683675881,65.5,80.0
10259.0,52000.0,0.01,0.001,0.35700000000000004,8850205.54,0.056803713073939985,0.94319628692606,272520.0644599625,309.103441576501,13.1,80.0
10455.0,52000.0,0.04,0.004,0.35600000000000004,8884084.066,0.0565297544245417,0.9434702455754584,302534.9777542917,269.11015583709326,16.7,74.0
10652.0,52000.0,0.03,0.004,0.355,8918660.137,0.05624257383649107,0.9437574261635088,611634.0712791722,352.0789764554135,25.7,78.0
10848.0,52000.0,0.05,0.01,0.355,8936199.886,0.05609421204620168,0.9439057879537984,1194957.3603650206,291.45621080506174,60.8,79.0
11044.0,52000.0,0.03,0.003,0.354,8971759.337000001,0.055788382890472166,0.9442116171095278,416350.21767870674,203.08127526150716,30.4,81.0
11241.0,52000.0,0.04,0.006,0.354,9007923.99,0.055471055296978516,0.9445289447030216,168861.30093238901,283.1790511351594,8.8,94.0
11437.0,52000.0,0.03,0.004,0.353,9044649.758,0.05514304243925679,0.9448569575607432,882344.8132207344,233.1960770960101,56.1,96.0
11633.0,52000.0,0.03,0.003,0.35200000000000004,9081891.417000001,0.05480517894033783,0.945194821059662,1237364.1397011096,280.3326146885788,65.4,91.0
11829.0,52000.0,0.02,0.001,0.35100000000000003,9119603.977,0.054458297950927666,0.9455417020490724,643514.0598647422,323.82766832161883,29.5,122.0
12026.0,52000.0,0.01,0.0,0.35,9157743.623,0.05410321542860031,0.9458967845713996,752262.2447944541,326.2908774990055,34.2,106.0
12222.0,52000.0,0.02,0.002,0.349,9196268.303,0.05374072035173924,0.9462592796482608,1491545.5052403794,362.04261094536287,61.1,104.0
12418.0,52000.0,0.05,0.009000000000000001,0.348,9235138.043,0.05337156939706554,0.9466284306029344,1322908.571479463,338.698811123518,57.9,104.0
12615.0,52000.0,0.03,0.002,0.34700000000000003,9274315.081,0.052996484744656784,0.9470035152553432,1174737.5506038468,299.26939456730565,58.2,97.0
12811.0,52000.0,0.02,0.001,0.34700000000000003,9313763.872000001,0.05261615394183918,0.9473838460581608,1920182.90470903,304.138474834357,93.6,103.0
13007.0,52000.0,0.04,0.003,0.34600000000000003,9353451.023,0.05223123103860548,0.9477687689613944,724855.2466965845,330.45659526813097,32.5,105.0
13203.0,52000.0,0.04,0.008,0.345,9393345.179,0.051842338444480565,0.9481576615555194,1124736.8034781138,357.83973299210794,46.6,105.0
13400.0,52000.0,0.02,0.002,0.344,9433416.889,0.051450069141882784,0.9485499308581172,862737.5829149996,244.8000616848228,52.2,108.0
13596.0,52000.0,0.04,0.006,0.34299999999999997,9473638.468,0.05105498902193442,0.9489450109780656,657547.5252054365,339.7030740654735,28.7,107.0
13792.0,52000.0,0.04,0.008,0.342,9513983.856,0.05065763920077148,0.9493423607992284,553279.3832529148,381.5175115509612,21.5,124.0
13988.0,52000.0,0.03,0.003,0.341,9554428.485,0.05025853823396767,0.9497414617660324,1304168.00848743,272.1330436010859,71.0,112.0
14185.0,52000.0,0.02,0.002,0.34,9594949.151,0.04985818418678839,0.9501418158132116,262421.64743535785,301.3102298677758,12.9,130.0
14381.0,52000.0,0.05,0.008,0.33899999999999997,9635523.901,0.04945705654176443,0.9505429434582356,823527.4788822009,301.3811180178734,40.5,118.0
14577.0,52000.0,0.04,0.006999999999999999,0.33799999999999997,9676131.929,0.04905561794074772,0.9509443820592522,576569.4340514964,310.53259096848575,27.5,139.0
14774.0,52000.0,0.01,0.0,0.337,9716753.474,0.04865431576636425,0.9513456842336356,352394.2042328321,287.47825639249044,18.2,141.0
14970.0,52000.0,0.03,0.004,0.336,9757369.735,0.04825358357352278,0.9517464164264772,1081577.0536637644,325.2487983924252,49.3,139.0
15166.0,52000.0,0.02,0.002,0.335,9797962.792000001,0.04785384238271307,0.9521461576172868,1038097.7653759052,367.74723714297784,41.8,128.0
15362.0,52000.0,0.02,0.002,0.33299999999999996,9838515.535,0.0474555018483748,0.9525444981516252,129129.409486216,274.05694897285633,7.0,134.0
15559.0,52000.0,0.01,0.0,0.332,9879011.593,0.0470589613146516,0.9529410386853484,1277495.033138643,401.0544825721749,47.2,132.0
15755.0,52000.0,0.02,0.001,0.331,9919435.279,0.04666461077072979,0.9533353892292702,530625.3940384544,236.9302570826144,33.2,142.0
15951.0,52000.0,0.02,0.001,0.33,9959771.534,0.04627283171676837,0.9537271682832316,591792.9146440524,203.9703049300106,43.0,130.0
16148.0,52000.0,0.01,0.001,0.33,9979902.327,0.046078023591085884,0.953921976408914,1319315.9595707087,306.5300004156685,63.8,144.0
16344.0,52000.0,0.02,0.002,0.32899999999999996,10020080.446,0.045690800432606864,0.9543091995673932,636571.6891018879,284.95833218433734,33.1,134.0
