easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
11500.0,79500.0,0.01,0.0,0.32899999999999996,8911711.691,0.10541174902527724,0.8945882509747227,1236880.4199803271,366.071785240994,51.7,58.0
11628.0,79500.0,0.0,0.0,0.32899999999999996,8916237.473,0.1059026163530144,0.8940973836469857,308295.34745487873,169.09387952749498,27.9,55.0
11755.0,79500.0,0.01,0.0,0.32899999999999996,8925045.572,0.10688984218159016,0.8931101578184099,1091213.9789941951,335.5605075708987,49.8,59.0
11883.0,79500.0,0.04,0.005,0.32899999999999996,8929328.124,0.10738610623922352,0.8926138937607765,733257.8130907584,270.8327442263656,41.4,63.0
12010.0,79500.0,0.01,0.0,0.32899999999999996,8933529.849,0.1078840730484564,0.8921159269515436,1051893.0073298374,358.52296981642456,44.9,63.0
12138.0,79500.0,0.02,0.002,0.32799999999999996,8937650.886,0.10838369283102037,0.8916163071689797,438576.1452875735,276.2934093466297,24.3,58.0
12265.0,79500.0,0.02,0.002,0.32799999999999996,8945651.496,0.10938768720040803,0.890612312799592,626129.1601214872,330.49834448151336,29.0,58.0
12393.0,79500.0,0.03,0.003,0.32799999999999996,8949531.39,0.10989195726384728,0.8901080427361527,552685.5718695265,302.24655545824754,28.0,60.0
12521.0,79500.0,0.01,0.0,0.32799999999999996,8953331.237,0.11039767127868476,0.8896023287213153,556979.8512022414,343.82317000122436,24.8,101.0
12648.0,79500.0,0.01,0.001,0.32799999999999996,8957051.219,0.11090477457419592,0.8890952254258041,1143276.861820914,339.3773065208532,51.5,71.0
12776.0,79500.0,0.03,0.003,0.32799999999999996,8964252.343,0.11192292563817216,0.8880770743618278,970649.7886082452,281.59480293408666,52.7,79.0
12903.0,79500.0,0.03,0.002,0.32799999999999996,8967733.886,0.112433859420204,0.8875661405797959,778946.3807865556,266.8440851276995,44.7,78.0
13031.0,79500.0,0.02,0.002,0.32799999999999996,8971136.361,0.11294595453821185,0.8870540454617881,686449.9662083727,309.42652792911497,33.9,89.0
13159.0,79500.0,0.01,0.0,0.327,8977704.985,0.11397339098755167,0.8860266090124483,629896.0824316856,359.52037035097646,26.8,75.0
13286.0,79500.0,0.01,0.0,0.327,8980871.592,0.11448861126357708,0.885511388736423,582049.9629308962,370.8942741124944,24.0,70.0
13414.0,79500.0,0.04,0.005,0.327,8983960.043,0.1150047507947591,0.8849952492052409,755468.5368176027,330.6146075531292,35.0,91.0
13541.0,79500.0,0.03,0.004,0.327,8986970.583999999,0.11552174696260108,0.8844782530373989,963983.0714782993,350.20095241957637,42.1,72.0
13669.0,79500.0,0.02,0.001,0.327,8992758.946,0.11655805470396716,0.8834419452960328,767277.1143330418,336.1728477745981,34.9,74.0
13796.0,79500.0,0.0,0.0,0.327,8995537.288999999,0.1170772370558892,0.8829227629441108,694500.3029175388,354.47939680936685,30.0,83.0
13924.0,79500.0,0.02,0.002,0.327,8998238.762,0.11759701763177804,0.882402982368222,723147.9034511994,351.56840471521826,31.5,77.0
14052.0,79500.0,0.01,0.0,0.327,9003412.21,0.11863810667676444,0.8813618933232356,526860.4722696703,362.1502938411525,22.3,85.0
14179.0,79500.0,0.0,0.0,0.327,9005884.75,0.11915927993970785,0.8808407200602921,875391.8430034048,308.76036881512954,43.4,94.0
14307.0,79500.0,0.01,0.0,0.327,9008281.555,0.1196807810447114,0.8803192189552886,291848.91079203284,278.73755754398786,16.0,87.0
14434.0,79500.0,0.03,0.002,0.327,9010602.921,0.12020254064005892,0.8797974593599409,664163.6594078868,286.5169679294569,35.5,80.0
14562.0,79500.0,0.04,0.005,0.327,9015020.549,0.1212465545475088,0.8787534454524912,770954.3714443116,282.40209722980734,41.8,88.0
14690.0,79500.0,0.02,0.001,0.327,9017117.427000001,0.12176866685306835,0.8782313331469317,648267.1583121782,351.7313908663226,28.2,82.0
14817.0,79500.0,0.02,0.001,0.326,9019140.102,0.12229075366506555,0.8777092463349344,436224.3451181817,339.1580823420569,19.7,85.0
14945.0,79500.0,0.01,0.0,0.326,9021088.893,0.12281274241617846,0.8771872575838215,1020975.5433167758,346.5059461704128,45.1,93.0
15072.0,79500.0,0.02,0.001,0.326,9024766.127,0.123856132480768,0.876143867519232,496665.7283797293,240.11743535473016,31.7,87.0
15200.0,79500.0,0.0,0.0,0.326,9026495.233,0.1243773857156112,0.8756226142843888,593467.1704419769,295.44605104947084,30.7,100.0
15327.0,79500.0,0.04,0.006,0.326,9028151.779,0.12489824475957577,0.8751017552404242,1144192.0208137822,348.016119143585,50.3,109.0
15455.0,79500.0,0.02,0.002,0.326,9031248.559,0.12593847802499789,0.8740615219750021,1145922.689178526,268.1615052441159,65.4,123.0
15583.0,79500.0,0.02,0.001,0.326,9032689.488,0.12645769980381127,0.8735423001961887,176067.5303596717,314.77552514716166,8.6,101.0
15710.0,79500.0,0.02,0.002,0.326,9034059.243999999,0.12697622253191726,0.8730237774680827,1369803.5142301144,291.37141884411585,71.9,95.0
15838.0,79500.0,0.02,0.002,0.326,9035358.183,0.12749396872718338,0.8725060312728166,572999.6306188499,266.68875090290203,32.9,95.0
16093.0,79500.0,0.0,0.0,0.326,9038833.713,0.12904176613217072,0.8709582338678292,467934.92987555405,289.02022898429834,24.8,97.0
16221.0,79500.0,0.0,0.0,0.326,9039853.015,0.1295556219067872,0.8704443780932127,991815.4143064849,305.8253079977238,49.6,112.0
16348.0,79500.0,0.0,0.0,0.326,9040803.332,0.13006830673818165,0.8699316932618184,526244.0749358982,281.3504514458752,28.6,106.0
16476.0,79500.0,0.03,0.005,0.326,9042498.519,0.13108984234731422,0.8689101576526858,944099.9473451736,366.2104274167229,39.4,100.0
16603.0,79500.0,0.0,0.0,0.326,9043244.15,0.1315985314866743,0.8684014685133257,1099445.6407953287,302.48071777678695,55.6,104.0
16731.0,79500.0,0.02,0.001,0.326,9043922.32,0.13210572642667787,0.8678942735733222,1126914.7422980298,275.8155884834078,62.5,113.0
16858.0,79500.0,0.02,0.001,0.326,9045077.832999999,0.1331153061354229,0.8668846938645771,1455681.6805406804,282.4304027939702,78.9,106.0
16986.0,79500.0,0.02,0.002,0.326,9045555.963,0.13361752619085604,0.8663824738091439,576858.927186041,256.1804909417376,34.5,111.0
17114.0,79500.0,0.01,0.0,0.326,9045968.204,0.13411792263904065,0.8658820773609593,947897.19687224,274.9437025185389,52.8,107.0
17241.0,79500.0,0.02,0.002,0.326,9046314.957,0.13461641223844178,0.8653835877615582,815393.1222562746,329.9507299409544,37.8,123.0
17369.0,79500.0,0.0,0.0,0.325,9046813.617,0.13560733624434515,0.8643926637556548,965357.226038962,288.6567918401348,51.2,125.0
17496.0,79500.0,0.02,0.001,0.325,9046966.341,0.13609960251341274,0.8639003974865872,827542.9819234045,222.08476978943284,57.0,115.0
17624.0,79500.0,0.01,0.0,0.325,9047055.21,0.1365896256756251,0.8634103743243748,635982.7156497163,344.9761300127229,28.2,126.0
17751.0,79500.0,0.01,0.0,0.325,9047043.049,0.13756260300227766,0.8624373969977224,311299.9862901377,291.1669961897707,16.4,113.0
