easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
63800.0,52100.0,0.1,0.044000000000000004,0.33899999999999997,7828282.938999999,0.22778650512173285,0.7722134948782672,466573.2693893119,287.9009382048618,20.1,63.0
64115.0,52100.0,0.07,0.023,0.33899999999999997,7821060.318,0.2285592142278417,0.7714407857721584,678057.7957609645,252.6491605552869,33.3,57.0
64431.0,52100.0,0.08,0.026000000000000002,0.33899999999999997,7814549.187000001,0.2293289274633239,0.7706710725366761,1324961.7406284632,403.5546909846527,40.8,79.0
64746.0,52100.0,0.07,0.019,0.33899999999999997,7808793.084,0.2300938976753296,0.7699061023246705,780382.670361459,316.5916328987952,30.6,60.0
65062.0,52100.0,0.1,0.047,0.33899999999999997,7802375.517000001,0.23110296770800465,0.7688970322919954,1451493.0148147412,251.08670104065968,71.8,75.0
65377.0,52100.0,0.07,0.016,0.33899999999999997,7798573.567000001,0.23184855937135704,0.7681514406286429,890091.4553032984,295.9571201073859,37.3,71.0
65693.0,52100.0,0.06,0.016,0.33899999999999997,7795702.897000001,0.2325815432958057,0.7674184567041944,833801.702797977,255.74439389864492,40.5,83.0
66008.0,52100.0,0.07,0.02,0.33899999999999997,7793827.614,0.2332988287892669,0.7667011712107331,1431854.6413223082,318.77875884991613,55.8,86.0
66323.0,52100.0,0.08,0.025,0.33799999999999997,7793018.121,0.2339969193695113,0.7660030806304887,851620.14004837,345.99382432090033,30.6,84.0
66639.0,52100.0,0.07,0.018000000000000002,0.33799999999999997,7793351.893999999,0.23467186568155055,0.7653281343184495,587114.5035942568,256.3421441683142,28.4,79.0
66954.0,52100.0,0.1,0.054000000000000006,0.33799999999999997,7795724.26,0.2355280122561152,0.7644719877438848,595673.3654239158,160.1713845460545,46.2,83.0
67270.0,52100.0,0.06,0.011000000000000001,0.33799999999999997,7799073.424,0.2361306503237396,0.7638693496762604,1033622.341703258,293.61588062996236,43.7,104.0
67585.0,52100.0,0.09,0.033,0.33799999999999997,7803886.937999999,0.2366930083766845,0.7633069916233155,937952.4676994878,206.34272146260918,56.4,111.0
67901.0,52100.0,0.07,0.017,0.337,7810283.467999999,0.2372085464069157,0.7627914535930843,754187.6823892263,332.37725726486985,28.2,96.0
68216.0,52100.0,0.04,0.008,0.337,7818392.875,0.2376700246225009,0.762329975377499,1358948.399166768,202.8808378611343,83.1,141.0
68531.0,52100.0,0.08,0.03,0.337,7828355.375,0.23806954964657626,0.7619304503534238,496520.88635109406,353.1601188082696,17.5,100.0
68847.0,52100.0,0.06,0.017,0.337,7840318.727000001,0.23839873348840385,0.7616012665115961,912239.5688600073,234.3500950775284,48.3,101.0
69162.0,52100.0,0.06,0.013999999999999999,0.336,7859639.443,0.2387135047178159,0.7612864952821841,582687.1094751144,343.90628488606313,21.0,106.0
69478.0,52100.0,0.08,0.021,0.336,7876835.322000001,0.23884618249051245,0.7611538175094876,1379640.0545775252,296.8316705668538,57.7,124.0
69793.0,52100.0,0.07,0.022000000000000002,0.335,7896470.892999999,0.23888314449314835,0.7611168555068517,935184.5866225781,277.11653838751585,41.9,112.0
70108.0,52100.0,0.06,0.013000000000000001,0.335,7918607.301,0.23882065571475244,0.7611793442852476,1207310.1495501976,336.41046034055745,44.6,129.0
70424.0,52100.0,0.07,0.028999999999999998,0.335,7943249.0,0.2386581477673849,0.7613418522326151,1489762.89835259,349.0903650006938,53.0,118.0
70739.0,52100.0,0.07,0.016,0.33399999999999996,7970341.885,0.23839832538221706,0.7616016746177829,1464619.4305414797,294.7852894876575,61.7,155.0
71055.0,52100.0,0.08,0.026000000000000002,0.33299999999999996,8010093.901000001,0.23791027201888226,0.7620897279811177,296193.8890463748,341.4975502076691,10.8,140.0
71370.0,52100.0,0.04,0.005,0.33299999999999996,8042445.429,0.2374478022913461,0.7625521977086539,849727.4873411355,256.30206655557515,41.2,132.0
71686.0,52100.0,0.1,0.044000000000000004,0.332,8076796.41,0.23691202246520165,0.7630879775347984,1019916.4671210104,316.51495413950533,40.0,135.0
72001.0,52100.0,0.06,0.019,0.332,8112986.543,0.23631139880386104,0.763688601196139,335085.9581614634,309.6925905436921,13.4,152.0
72316.0,52100.0,0.09,0.034,0.331,8150861.406,0.2356539937696687,0.7643460062303313,2492541.372699498,331.68682310947,93.3,152.0
72632.0,52100.0,0.06,0.018000000000000002,0.331,8190276.166,0.2349472553390473,0.7650527446609527,447361.61527575494,319.87677915255364,17.4,143.0
72947.0,52100.0,0.07,0.019,0.33,8231096.941000001,0.2341979400984225,0.7658020599015775,594706.9906068684,372.2600929272082,19.8,145.0
73263.0,52100.0,0.08,0.023,0.32899999999999996,8287500.845,0.23314301042695898,0.7668569895730409,1112008.5183825465,384.61896704582375,35.9,145.0
73578.0,52100.0,0.07,0.026000000000000002,0.32899999999999996,8331142.046,0.2323168153425143,0.7676831846574858,848531.9543504246,297.12631011022546,35.5,148.0
73894.0,52100.0,0.06,0.01,0.32799999999999996,8375818.065,0.23146581691666465,0.7685341830833354,852558.6428116685,304.46690997486456,34.8,155.0
74209.0,52100.0,0.06,0.015,0.327,8421436.662999999,0.23059412228655296,0.769405877713447,559207.6587579577,283.8483619198451,24.5,191.0
