easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
82300.0,88500.0,0.03,0.005,0.29100000000000004,8983549.832999999,0.2052515468674922,0.7947484531325077,796639.8998169176,169.6713850637946,59.3,50.0
82448.0,88500.0,0.02,0.002,0.29100000000000004,8962731.79,0.203883357949496,0.7961166420505041,985609.1247666586,288.119942108274,43.2,53.0
82596.0,88500.0,0.03,0.004,0.29,8921032.77,0.20114298655637616,0.7988570134436238,1031474.1714820041,351.3714680793995,37.1,58.0
82744.0,88500.0,0.05,0.009000000000000001,0.29,8900155.429,0.19977104112644226,0.8002289588735577,643802.0780163342,304.87767660822976,26.7,64.0
82893.0,88500.0,0.01,0.001,0.29,8858354.203,0.19702422930389396,0.8029757706961059,1098025.626200109,244.92326120442345,56.6,61.0
83041.0,88500.0,0.03,0.004,0.29,8837433.984,0.19564960495619976,0.8043503950438002,530333.6338397216,293.37815500956685,22.8,72.0
83189.0,88500.0,0.08,0.031,0.29,8795563.545,0.19289853195470086,0.8071014680452991,679567.3613925519,253.73031037814167,33.8,66.0
83337.0,88500.0,0.05,0.009000000000000001,0.29,8774617.033,0.1915223316161298,0.8084776683838701,305710.1053865812,263.14629238320725,14.7,62.0
83485.0,88500.0,0.02,0.001,0.289,8732710.763,0.18876923318305364,0.8112307668169464,974496.0111330079,300.6410991027564,41.0,73.0
83633.0,88500.0,0.07,0.019,0.289,8711754.769,0.1873925910411872,0.8126074089588129,1100866.157463863,266.52097270348753,52.2,71.0
83781.0,88500.0,0.04,0.006999999999999999,0.289,8669846.567,0.18463977174196214,0.8153602282580379,831528.0097401348,322.58619280608355,32.6,73.0
83930.0,88500.0,0.04,0.006,0.289,8648898.197,0.18326385966405906,0.8167361403359409,639366.5794586437,308.02980070320575,26.2,72.0
84078.0,88500.0,0.05,0.009000000000000001,0.289,8607022.617999999,0.1805137063080056,0.8194862936919944,1248939.7753088474,292.83212042851466,53.9,86.0
84226.0,88500.0,0.03,0.004,0.289,8586099.338,0.17913974087954398,0.820860259120456,797789.0322896183,392.8292881402679,25.7,71.0
84374.0,88500.0,0.04,0.006999999999999999,0.28800000000000003,8544291.749,0.17639473733663058,0.8236052626633694,1176424.0149348776,320.45253795004163,46.4,101.0
84522.0,88500.0,0.06,0.013999999999999999,0.28800000000000003,8523411.477,0.17502398767884408,0.8249760123211559,732777.8397917069,375.2806744679405,24.7,76.0
84670.0,88500.0,0.03,0.003,0.28800000000000003,8481708.227,0.1722867314431842,0.8277132685568158,1593056.865666407,276.79616514936987,72.7,82.0
84818.0,88500.0,0.05,0.011000000000000001,0.28800000000000003,8460889.419,0.1709205280085155,0.8290794719914845,1867648.099117261,301.54551691153324,78.3,76.0
84967.0,88500.0,0.04,0.006,0.28800000000000003,8419328.043,0.1681937489561549,0.8318062510438451,1851815.9271085889,270.87520644872444,86.4,95.0
85115.0,88500.0,0.05,0.012,0.28800000000000003,8398589.8,0.16683349355339155,0.8331665064466085,990803.5364882414,390.8359681634028,32.0,95.0
85263.0,88500.0,0.04,0.009000000000000001,0.287,8357209.243,0.16412007546244578,0.8358799245375542,1123158.258854565,252.5609373926505,56.2,91.0
85411.0,88500.0,0.05,0.008,0.287,8336571.437999999,0.1627672528321241,0.8372327471678759,541419.5599563697,236.81509498929253,28.9,83.0
85559.0,88500.0,0.01,0.0,0.287,8295412.321,0.1600702583921133,0.8399297416078867,953252.4262635652,269.93057092004443,44.6,88.0
85707.0,88500.0,0.03,0.003,0.287,8274895.741,0.15872644974363742,0.8412735502563626,1458135.2772184568,306.6014742021247,60.1,84.0
85855.0,88500.0,0.03,0.005,0.287,8234000.681,0.1560491499876238,0.8439508500123762,469348.2898475981,286.32827781018534,20.7,91.0
86003.0,88500.0,0.02,0.001,0.287,8213627.198,0.15471604902725752,0.8452839509727424,932255.2900899186,218.52657545213336,53.9,90.0
86152.0,88500.0,0.03,0.006,0.28600000000000003,8173041.183999999,0.1520619583882971,0.8479380416117028,1119779.5467607093,239.62921300064124,59.0,114.0
86300.0,88500.0,0.04,0.006,0.28600000000000003,8152833.9629999995,0.1507413905176086,0.8492586094823914,724564.4832627091,295.89417707961513,30.9,90.0
86448.0,88500.0,0.02,0.001,0.28600000000000003,8132687.569,0.14942543200489902,0.8505745679951009,602112.6000413554,267.6654745056795,28.4,95.0
86596.0,88500.0,0.02,0.002,0.28600000000000003,8092588.561000001,0.14680825459144667,0.8531917454085534,772599.8356228962,321.41280584090265,30.4,120.0
86744.0,88500.0,0.03,0.004,0.28600000000000003,8072641.772000001,0.1455075087603382,0.8544924912396619,831929.8365136746,238.99108539828987,44.0,101.0
86892.0,88500.0,0.04,0.006,0.285,8032968.752,0.1429229417975307,0.8570770582024693,873654.4348669772,307.70962958120083,35.9,96.0
87040.0,88500.0,0.05,0.011000000000000001,0.285,8013248.826,0.14163964066800666,0.8583603593319933,806324.3317150981,356.0210585345494,28.6,106.0
87189.0,88500.0,0.01,0.001,0.285,7974058.585,0.13909237021300047,0.8609076297869995,343503.8178191097,257.0104794276716,16.9,111.0
87337.0,88500.0,0.02,0.002,0.285,7954595.152000001,0.13782897689071527,0.8621710231092847,780581.8244530985,310.53478708065603,31.8,109.0
87485.0,88500.0,0.04,0.005,0.285,7915949.691000001,0.13532419423791986,0.8646758057620801,832530.7509263275,308.0345598296752,34.2,116.0
87633.0,88500.0,0.02,0.001,0.285,7896775.239,0.13408344780362824,0.8659165521963718,1430564.0140242972,353.5763707836716,51.1,107.0
87781.0,88500.0,0.01,0.001,0.284,7858742.834,0.13162694740763978,0.8683730525923602,241965.1008998731,361.49144934473776,8.5,109.0
87929.0,88500.0,0.04,0.006,0.284,7839893.288,0.13041191575760394,0.8695880842423961,784824.8218119474,364.3769587490322,27.2,114.0
88077.0,88500.0,0.02,0.001,0.284,7802549.709,0.12801020714736355,0.8719897928526364,581147.4882096109,339.53341602509215,21.6,109.0
88226.0,88500.0,0.04,0.006999999999999999,0.284,7784065.057999999,0.12682434480502364,0.8731756551949763,719957.3060793502,315.2844213467455,28.9,120.0
88374.0,88500.0,0.05,0.01,0.284,7747494.807999999,0.12448476612974167,0.8755152338702583,238846.46468780976,290.52540451021395,10.4,116.0
88522.0,88500.0,0.02,0.001,0.284,7729419.667,0.12333196611014467,0.8766680338898554,1299733.7353450495,294.17285155070095,55.8,113.0
88670.0,88500.0,0.04,0.005,0.28300000000000003,7693716.837,0.1210627625098871,0.8789372374901129,623676.6961386211,272.4148610194417,28.9,119.0
88818.0,88500.0,0.04,0.005,0.28300000000000003,7676100.6389999995,0.11994737337086095,0.8800526266291391,1932448.8206685837,368.75434305218766,66.2,126.0
88966.0,88500.0,0.04,0.008,0.28300000000000003,7641368.411,0.11775765216272915,0.8822423478372708,553968.164361579,362.0909957868228,19.3,127.0
89114.0,88500.0,0.02,0.002,0.28300000000000003,7624264.518999999,0.1166843969498082,0.8833156030501919,1549203.5437318946,299.3379166968901,65.4,138.0
89263.0,88500.0,0.0,0.0,0.28300000000000003,7590611.449,0.11458378613619498,0.8854162138638051,1181739.5833577982,264.02306540665995,56.6,136.0
89411.0,88500.0,0.0,0.0,0.28300000000000003,7574073.997,0.1135574727619279,0.886442527238072,941290.723634053,269.79062758336727,44.1,124.0
89559.0,88500.0,0.06,0.01,0.282,7541604.315,0.11155523246468252,0.8884447675353174,310500.16740658303,303.89136092938867,12.9,147.0
