easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
49900.0,29600.0,0.06,0.015,0.315,9572314.117,0.2559224444822005,0.7440775555177995,565514.1822101589,255.28623387244068,31.5,51.0
50174.0,29600.0,0.06,0.017,0.315,9531316.455,0.25668908927502,0.7433109107249799,934261.876938522,254.39546066258296,52.2,59.0
50449.0,29600.0,0.05,0.01,0.315,9505782.957999999,0.25711868295847023,0.7428813170415298,752113.9041341565,311.4148449686252,34.3,63.0
50723.0,29600.0,0.09,0.031,0.314,9469795.12,0.25765488602244263,0.7423451139775574,755728.9214616333,351.3853082371296,30.6,66.0
50997.0,29600.0,0.07,0.019,0.314,9436208.261,0.2580750657418604,0.7419249342581395,735607.5176660371,374.155834082374,28.0,62.0
51272.0,29600.0,0.06,0.015,0.313,9404743.072,0.2583897956810739,0.7416102043189261,897922.0848737769,234.47683620193084,54.5,70.0
51546.0,29600.0,0.07,0.02,0.313,9384849.025,0.2585447889901743,0.7414552110098257,685090.7221894672,322.0168719363213,30.3,73.0
51821.0,29600.0,0.06,0.017,0.313,9356524.775,0.2586994037335812,0.7413005962664188,736725.5994595737,269.63386726223735,38.9,75.0
52095.0,29600.0,0.07,0.022000000000000002,0.312,9329920.091,0.25876483962270364,0.7412351603772964,689117.1526882036,277.7800512662643,35.3,78.0
52369.0,29600.0,0.07,0.019,0.312,9304943.692,0.2587451572127028,0.7412548427872971,1358292.9599364966,237.59666142325736,81.3,92.0
52644.0,29600.0,0.08,0.031,0.312,9289160.37,0.25868648111268633,0.7413135188873137,738091.9015314381,229.35417711438234,45.8,85.0
52918.0,29600.0,0.09,0.03,0.311,9266740.531,0.258532429514988,0.7414675704850121,968344.2375892731,365.3508395511538,37.7,85.0
53192.0,29600.0,0.05,0.009000000000000001,0.311,9245780.037999999,0.2583016012461177,0.7416983987538823,408658.6466353018,365.992461416172,15.9,86.0
53467.0,29600.0,0.1,0.035,0.311,9226234.102,0.25799651783429145,0.7420034821657085,1864852.3583169756,266.28584292364764,99.6,90.0
53741.0,29600.0,0.09,0.028999999999999998,0.31,9213970.474,0.2577530174138845,0.7422469825861155,848957.3160103756,294.1322336670517,41.0,102.0
54016.0,29600.0,0.08,0.027000000000000003,0.31,9196701.277999999,0.2573291833717577,0.7426708166282423,450700.7146980073,263.2400309695924,24.3,94.0
54290.0,29600.0,0.1,0.048,0.31,9180758.593,0.2568368212399249,0.7431631787600751,1029427.8731403302,352.21808691555543,41.6,107.0
54564.0,29600.0,0.07,0.027999999999999997,0.309,9166118.249,0.2562778022842848,0.7437221977157152,556922.6575824078,392.02671368291817,20.2,101.0
54839.0,29600.0,0.08,0.037000000000000005,0.309,9157071.29,0.2558689634358977,0.7441310365641023,887708.1955927084,333.1000899641572,37.9,103.0
55113.0,29600.0,0.12,0.057,0.309,9144557.553,0.2552027068065499,0.7447972931934501,1282401.8297647713,316.37325465804696,57.6,103.0
55387.0,29600.0,0.09,0.036000000000000004,0.309,9133298.264,0.2544742716469326,0.7455257283530674,1213275.9403374137,313.9504081213298,55.0,113.0
55662.0,29600.0,0.07,0.023,0.308,9123280.31,0.2536851866514029,0.7463148133485971,713174.7576716361,306.16291623498415,33.1,116.0
55936.0,29600.0,0.08,0.022000000000000002,0.308,9117285.769,0.2531261607770801,0.7468738392229199,763811.6371203095,270.49093032149847,40.2,111.0
56210.0,29600.0,0.09,0.032,0.308,9109313.002,0.25223921663906673,0.7477607833609332,1004193.8051260572,259.8119110003874,55.0,128.0
56485.0,29600.0,0.07,0.022000000000000002,0.307,9102555.8,0.2512954027861492,0.7487045972138509,619370.7304066546,361.080113503053,24.4,118.0
56759.0,29600.0,0.07,0.02,0.307,9097007.127,0.2502960466653197,0.7497039533346803,571905.8662833718,308.9348215219391,26.3,121.0
57034.0,29600.0,0.06,0.017,0.307,9093976.422,0.2495995897236981,0.7504004102763019,497525.61508189025,366.05350545922136,19.3,137.0
57308.0,29600.0,0.07,0.023,0.307,9090429.064,0.2485105066666915,0.7514894933333085,539044.8883252189,169.01058306676805,45.4,134.0
57582.0,29600.0,0.08,0.027999999999999997,0.306,9088075.983,0.247369238527911,0.7526307614720892,747822.1753421506,388.10154080395597,27.4,135.0
57857.0,29600.0,0.08,0.027999999999999997,0.306,9086912.928,0.24617698804894755,0.7538230119510525,570625.2464269174,393.446199910429,20.6,132.0
58131.0,29600.0,0.06,0.013999999999999999,0.306,9086796.721,0.2453544133982937,0.7546455866017063,635669.4770136882,260.50184298456253,34.7,146.0
58405.0,29600.0,0.08,0.031,0.306,9087608.301,0.2440797985627796,0.7559202014372204,838486.7608894756,296.0630399310109,40.3,161.0
58680.0,29600.0,0.13,0.059000000000000004,0.305,9089599.492999999,0.2427572946567297,0.7572427053432703,623602.258741596,280.966994350996,31.6,141.0
58954.0,29600.0,0.08,0.027000000000000003,0.305,9092766.226,0.2413880270899895,0.7586119729100105,818884.1023276369,285.7158374508283,40.8,141.0
