easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min),time to pump stage (min),set time (min)
70900.0,82000.0,0.04,0.005,0.308,10433807.526,0.1950345860799941,0.8049654139200059,658594.2673340325,433.314259151243,20.4,58.0
70982.0,82000.0,0.05,0.011000000000000001,0.308,10433683.644,0.19546098478770269,0.8045390152122973,314943.2494645061,254.11860381872262,16.6,51.0
71064.0,82000.0,0.05,0.01,0.308,10433339.616,0.19587408746658114,0.8041259125334188,964889.9075671905,274.7307847905541,47.1,67.0
71146.0,82000.0,0.05,0.01,0.308,10433339.616,0.19587408746658114,0.8041259125334188,1000176.0857534652,241.59725817747017,55.5,59.0
71227.0,82000.0,0.05,0.006999999999999999,0.307,10432776.047,0.1962739130749097,0.8037260869250903,339605.0926319582,322.3284181129526,14.1,70.0
71309.0,82000.0,0.05,0.012,0.307,10431993.615,0.19666048538977374,0.8033395146102262,882629.7050629995,258.7008854112983,45.8,55.0
71391.0,82000.0,0.05,0.008,0.307,10430993.064,0.197033832905412,0.802966167094588,590558.9280862788,397.1685075237279,19.9,61.0
71473.0,82000.0,0.07,0.018000000000000002,0.307,10429775.208999999,0.1973939887250907,0.8026060112749093,58210.04064996199,328.6217515830047,2.4,59.0
71555.0,82000.0,0.06,0.015,0.307,10428340.932,0.1977409904468415,0.8022590095531585,887081.5110749053,346.78661037496767,34.3,57.0
71637.0,82000.0,0.06,0.015,0.307,10428340.932,0.1977409904468415,0.8022590095531585,697721.758125452,217.71115946561557,43.0,98.0
71718.0,82000.0,0.05,0.01,0.307,10426691.178,0.1980748800435837,0.8019251199564164,1119627.9243637444,311.8299098853672,48.2,59.0
71800.0,82000.0,0.06,0.015,0.307,10424826.958999999,0.19839570373817927,0.8016042962618207,815365.8776937763,219.4205896203136,49.9,64.0
71882.0,82000.0,0.05,0.008,0.307,10422749.347000001,0.19870351187383825,0.8012964881261617,1005630.528269236,281.37010622755463,47.9,65.0
71964.0,82000.0,0.02,0.002,0.307,10420459.475,0.19899835878039945,0.8010016412196006,1863638.0293713287,227.78695759862163,109.8,73.0
72046.0,82000.0,0.02,0.002,0.307,10420459.475,0.19899835878039945,0.8010016412196006,905300.083899892,315.9155686034093,38.4,70.0
72128.0,82000.0,0.05,0.011000000000000001,0.307,10417958.533,0.19928030263703256,0.8007196973629674,543898.8423148139,350.65656165428567,20.8,77.0
72210.0,82000.0,0.06,0.016,0.307,10415247.771,0.1995494053318919,0.8004505946681081,960675.1580767313,300.31130216730656,42.9,67.0
72291.0,82000.0,0.04,0.006999999999999999,0.307,10412328.492,0.19980573231911192,0.8001942676808881,1209831.0736717442,286.4631193856168,56.7,82.0
72373.0,82000.0,0.06,0.013000000000000001,0.307,10409202.05,0.20004935247381303,0.799950647526187,1622500.6581045175,342.34999922364665,63.6,66.0
72455.0,82000.0,0.05,0.01,0.306,10405869.852,0.2002803379454788,0.7997196620545212,1079041.9806607896,280.38220456450887,51.6,75.0
